num,cond,formula,answer
0,first_level,1 + 1,2
1,first_level,1 + 2,3
2,first_level,1 + 3,4
3,first_level,1 + 4,5
4,first_level,1 + 5,6
5,first_level,1 + 6,7
6,first_level,1 + 7,8
7,first_level,2 + 1,3
8,first_level,2 - 1,1
9,first_level,2 + 2,4
10,first_level,2 + 3,5
11,first_level,2 + 4,6
12,first_level,2 + 5,7
13,first_level,2 + 6,8
14,first_level,3 + 1,4
15,first_level,3 - 1,2
16,first_level,3 + 2,5
17,first_level,3 - 2,1
18,first_level,3 + 3,6
19,first_level,3 + 4,7
20,first_level,3 + 5,8
21,first_level,4 + 1,5
22,first_level,4 - 1,3
23,first_level,4 + 2,6
24,first_level,4 - 2,2
25,first_level,4 + 3,7
26,first_level,4 - 3,1
27,first_level,4 + 4,8
28,first_level,5 + 1,6
29,first_level,5 - 1,4
30,first_level,5 + 2,7
31,first_level,5 - 2,3
32,first_level,5 + 3,8
33,first_level,5 - 3,2
34,first_level,5 - 4,1
35,first_level,6 + 1,7
36,first_level,6 - 1,5
37,first_level,6 + 2,8
38,first_level,6 - 2,4
39,first_level,6 - 3,3
40,first_level,6 - 4,2
41,first_level,6 - 5,1
42,first_level,7 + 1,8
43,first_level,7 - 1,6
44,first_level,7 - 2,5
45,first_level,7 - 3,4
46,first_level,7 - 4,3
47,first_level,7 - 5,2
48,first_level,7 - 6,1
49,first_level,8 - 1,7
50,first_level,8 - 2,6
51,first_level,8 - 3,5
52,first_level,8 - 4,4
53,first_level,8 - 5,3
54,first_level,8 - 6,2
55,first_level,8 - 7,1
56,first_level,9 - 1,8
57,first_level,9 - 2,7
58,first_level,9 - 3,6
59,first_level,9 - 4,5
60,first_level,9 - 5,4
61,first_level,9 - 6,3
62,first_level,9 - 7,2
63,first_level,9 - 8,1
64,second_level,1 + 1 + 1 + 1,4
65,second_level,1 + 1 + 1 - 1,2
66,second_level,1 + 1 - 1 + 1,2
67,second_level,1 - 1 + 1 + 1,2
68,second_level,1 + 1 + 1 + 2,5
69,second_level,1 + 1 + 1 - 2,1
70,second_level,1 + 1 - 1 + 2,3
71,second_level,1 - 1 + 1 + 2,3
72,second_level,1 - 1 - 1 + 2,1
73,second_level,1 + 1 + 1 + 3,6
74,second_level,1 + 1 - 1 + 3,4
75,second_level,1 - 1 + 1 + 3,4
76,second_level,1 - 1 - 1 + 3,2
77,second_level,1 + 1 + 1 + 4,7
78,second_level,1 + 1 - 1 + 4,5
79,second_level,1 - 1 + 1 + 4,5
80,second_level,1 - 1 - 1 + 4,3
81,second_level,1 + 1 + 1 + 5,8
82,second_level,1 + 1 - 1 + 5,6
83,second_level,1 - 1 + 1 + 5,6
84,second_level,1 - 1 - 1 + 5,4
85,second_level,1 + 1 - 1 + 6,7
86,second_level,1 - 1 + 1 + 6,7
87,second_level,1 - 1 - 1 + 6,5
88,second_level,1 + 1 - 1 + 7,8
89,second_level,1 - 1 + 1 + 7,8
90,second_level,1 - 1 - 1 + 7,6
91,second_level,1 - 1 - 1 + 8,7
92,second_level,1 - 1 - 1 + 9,8
93,second_level,1 + 1 + 2 + 1,5
94,second_level,1 + 1 + 2 - 1,3
95,second_level,1 + 1 - 2 + 1,1
96,second_level,1 - 1 + 2 + 1,3
97,second_level,1 - 1 + 2 - 1,1
98,second_level,1 + 1 + 2 + 2,6
99,second_level,1 + 1 + 2 - 2,2
100,second_level,1 + 1 - 2 + 2,2
101,second_level,1 - 1 + 2 + 2,4
102,second_level,1 + 1 + 2 + 3,7
103,second_level,1 + 1 + 2 - 3,1
104,second_level,1 + 1 - 2 + 3,3
105,second_level,1 - 1 + 2 + 3,5
106,second_level,1 - 1 - 2 + 3,1
107,second_level,1 + 1 + 2 + 4,8
108,second_level,1 + 1 - 2 + 4,4
109,second_level,1 - 1 + 2 + 4,6
110,second_level,1 - 1 - 2 + 4,2
111,second_level,1 + 1 - 2 + 5,5
112,second_level,1 - 1 + 2 + 5,7
113,second_level,1 - 1 - 2 + 5,3
114,second_level,1 + 1 - 2 + 6,6
115,second_level,1 - 1 + 2 + 6,8
116,second_level,1 - 1 - 2 + 6,4
117,second_level,1 + 1 - 2 + 7,7
118,second_level,1 - 1 - 2 + 7,5
119,second_level,1 + 1 - 2 + 8,8
120,second_level,1 - 1 - 2 + 8,6
121,second_level,1 - 1 - 2 + 9,7
122,second_level,1 + 1 + 3 + 1,6
123,second_level,1 + 1 + 3 - 1,4
124,second_level,1 - 1 + 3 + 1,4
125,second_level,1 - 1 + 3 - 1,2
126,second_level,1 + 1 + 3 + 2,7
127,second_level,1 + 1 + 3 - 2,3
128,second_level,1 + 1 - 3 + 2,1
129,second_level,1 - 1 + 3 + 2,5
130,second_level,1 - 1 + 3 - 2,1
131,second_level,1 + 1 + 3 + 3,8
132,second_level,1 + 1 + 3 - 3,2
133,second_level,1 + 1 - 3 + 3,2
134,second_level,1 - 1 + 3 + 3,6
135,second_level,1 + 1 + 3 - 4,1
136,second_level,1 + 1 - 3 + 4,3
137,second_level,1 - 1 + 3 + 4,7
138,second_level,1 - 1 - 3 + 4,1
139,second_level,1 + 1 - 3 + 5,4
140,second_level,1 - 1 + 3 + 5,8
141,second_level,1 - 1 - 3 + 5,2
142,second_level,1 + 1 - 3 + 6,5
143,second_level,1 - 1 - 3 + 6,3
144,second_level,1 + 1 - 3 + 7,6
145,second_level,1 - 1 - 3 + 7,4
146,second_level,1 + 1 - 3 + 8,7
147,second_level,1 - 1 - 3 + 8,5
148,second_level,1 + 1 - 3 + 9,8
149,second_level,1 - 1 - 3 + 9,6
150,second_level,1 + 1 + 4 + 1,7
151,second_level,1 + 1 + 4 - 1,5
152,second_level,1 - 1 + 4 + 1,5
153,second_level,1 - 1 + 4 - 1,3
154,second_level,1 + 1 + 4 + 2,8
155,second_level,1 + 1 + 4 - 2,4
156,second_level,1 - 1 + 4 + 2,6
157,second_level,1 - 1 + 4 - 2,2
158,second_level,1 + 1 + 4 - 3,3
159,second_level,1 + 1 - 4 + 3,1
160,second_level,1 - 1 + 4 + 3,7
161,second_level,1 - 1 + 4 - 3,1
162,second_level,1 + 1 + 4 - 4,2
163,second_level,1 + 1 - 4 + 4,2
164,second_level,1 - 1 + 4 + 4,8
165,second_level,1 + 1 + 4 - 5,1
166,second_level,1 + 1 - 4 + 5,3
167,second_level,1 - 1 - 4 + 5,1
168,second_level,1 + 1 - 4 + 6,4
169,second_level,1 - 1 - 4 + 6,2
170,second_level,1 + 1 - 4 + 7,5
171,second_level,1 - 1 - 4 + 7,3
172,second_level,1 + 1 - 4 + 8,6
173,second_level,1 - 1 - 4 + 8,4
174,second_level,1 + 1 - 4 + 9,7
175,second_level,1 - 1 - 4 + 9,5
176,second_level,1 + 1 + 5 + 1,8
177,second_level,1 + 1 + 5 - 1,6
178,second_level,1 - 1 + 5 + 1,6
179,second_level,1 - 1 + 5 - 1,4
180,second_level,1 + 1 + 5 - 2,5
181,second_level,1 - 1 + 5 + 2,7
182,second_level,1 - 1 + 5 - 2,3
183,second_level,1 + 1 + 5 - 3,4
184,second_level,1 - 1 + 5 + 3,8
185,second_level,1 - 1 + 5 - 3,2
186,second_level,1 + 1 + 5 - 4,3
187,second_level,1 + 1 - 5 + 4,1
188,second_level,1 - 1 + 5 - 4,1
189,second_level,1 + 1 + 5 - 5,2
190,second_level,1 + 1 - 5 + 5,2
191,second_level,1 + 1 + 5 - 6,1
192,second_level,1 + 1 - 5 + 6,3
