num,cond,formula,answer
23752,fifth_level,1 * 5 - 4 / 2,3
31063,fifth_level,2 * 6 - 8 / 2,8
33764,fifth_level,3 * 2 - 2 - 3,1
40635,fifth_level,4 + 3 - 5 * 1,2
28846,fifth_level,2 + 3 * 3 - 8,3
31678,fifth_level,2 / 8 * 2 * 2,1
28738,fifth_level,2 + 3 + 3 * 1,8
28277,fifth_level,2 / 2 * 7 + 1,8
60498,fifth_level,8 - 2 / 3 * 6,4
35292,fifth_level,3 + 4 / 1 - 2,5
60169,fifth_level,8 - 2 + 1 * 2,8
38154,fifth_level,4 / 1 * 1 + 1,5
64110,fifth_level,8 / 8 + 9 - 9,1
30819,fifth_level,2 + 6 * 3 / 9,4
20435,fifth_level,1 / 1 - 2 + 2,1
32700,fifth_level,3 + 1 + 2 / 2,5
55322,fifth_level,7 + 1 - 8 / 8,7
30638,fifth_level,2 * 6 / 2 / 1,6
34520,fifth_level,3 / 3 + 1 * 7,8
23013,fifth_level,1 + 4 - 3 + 1,3
49503,fifth_level,6 * 1 + 5 - 7,4
54423,fifth_level,6 / 9 * 9 / 1,6
31125,fifth_level,2 * 6 / 9 * 6,8
35405,fifth_level,3 + 4 - 2 / 1,5
55204,fifth_level,7 / 1 / 7 * 4,4
39383,fifth_level,4 + 2 * 2 - 1,7
62954,fifth_level,8 + 6 / 6 - 1,8
26299,fifth_level,1 + 9 / 9 + 1,3
48725,fifth_level,5 - 9 + 6 + 5,7
39478,fifth_level,4 * 2 + 2 - 3,7
59921,fifth_level,8 + 1 - 7 + 4,6
52932,fifth_level,6 + 6 - 3 - 3,6
23090,fifth_level,1 + 4 - 4 * 1,1
24282,fifth_level,1 - 6 + 2 * 6,7
23574,fifth_level,1 - 5 + 1 * 6,2
43807,fifth_level,4 + 9 / 9 - 3,2
35497,fifth_level,3 + 4 + 2 - 8,1
64923,fifth_level,9 * 1 + 4 - 7,6
25019,fifth_level,1 + 7 * 4 / 7,5
67619,fifth_level,9 - 6 - 3 / 3,2
55946,fifth_level,7 / 2 / 7 * 2,1
